Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
8/30/14,L,14,Oregon St.,29,"Portland, OR",,2014,Portland St. (OR),Portland State University,0,1
8/30/14,W,49,Incarnate Word (TX),13,"Sacramento, CA",,2014,Cal St.-Sacramento,California State University: Sacramento,0,1
8/30/14,L,19,Nevada,28,"Cedar City, UT",,2014,Southern Utah,Southern Utah University,0,1
8/30/14,L,0,Stanford (CA),45,"Davis, CA",,2014,California-Davis,University of California: Davis,0,1
8/30/14,W,31,Citadel (SC),16,"Conway, SC",,2014,Coastal Carolina (SC),Coastal Carolina University,0,1
8/30/14,L,3,Furman (SC),13,"Boiling Springs, NC",,2014,Gardner-Webb (NC),Gardner-Webb University,0,1
8/30/14,L,29,North Carolina,56,"Lynchburg, VA",,2014,Liberty (VA),Liberty University,0,1
8/30/14,W,52,Delaware St.,21,"West Long Branch, NJ",,2014,Monmouth (NJ),Monmouth University,1,1
8/30/14,W,14,Holy Cross (MA),13,"Albany, NY",,2014,SUNY-Albany (NY),State University of New York at Albany,1,1
8/30/14,L,0,Pittsburgh (PA),62,"Newark, DE",,2014,Delaware,University of Delaware,0,1
8/30/14,L,13,Duke (NC),52,"Elon, NC",,2014,Elon (NC),Elon University,0,1
8/30/14,L,7,Maryland,52,"Harrisonburg, VA",,2014,James Madison (VA),James Madison University,0,1
8/30/14,W,10,Norfolk St. (VA),6,"Orono, ME",,2014,Maine,University of Maine,1,1
8/30/14,L,20,Toledo (OH),54,"Durham, NH",,2014,New Hampshire,University of New Hampshire,0,1
8/30/14,W,55,Morehead St. (KY),10,"Richmond, VA",,2014,Richmond (VA),University of Richmond,1,1
8/30/14,L,27,Central Connecticut St.,31,"Towson, MD",,2014,Towson (MD),Towson University,1,1
8/30/14,L,9,Virginia Tech,34,"Williamsburg, VA",,2014,William & Mary (VA),College of William and Mary,0,1
8/30/14,W,14,Florida International,12,"Daytona Beach, FL",,2014,Bethune-Cookman (FL),Bethune-Cookman College,0,1
8/30/14,L,21,Monmouth (NJ),52,"Dover, DE",,2014,Delaware St.,Delaware State University,0,1
8/30/14,L,17,Jackson St. (MS),22,"Tallahassee, FL",,2014,Florida A&M,Florida Agricultural and Mechanical University,0,1
8/30/14,L,28,Old Dominion (VA),41,"Hampton, VA",,2014,Hampton (VA),Hampton University,0,1
8/30/14,L,28,Eastern Michigan,31,"Baltimore, MD",,2014,Morgan St. (MD),Morgan State University,0,1
8/30/14,L,7,East Carolina (NC),52,"Durham, NC",,2014,North Carolina Central,North Carolina Central University,0,1
8/30/14,L,6,Maine,10,"Norfolk, VA",,2014,Norfolk St. (VA),Norfolk State University,0,1
8/30/14,L,7,Middle Tennessee St.,61,"Savannah, GA",,2014,Savannah St. (GA),Savannah State University,0,1
8/30/14,L,10,Indiana,28,"Terre Haute, IN",,2014,Indiana St.,Indiana State University,0,1
8/30/14,W,34,Iowa St.,14,"Fargo, ND",,2014,North Dakota St.,North Dakota State University,0,1
8/30/14,L,23,Iowa,31,"Cedar Falls, IA",,2014,Northern Iowa,University of Northern Iowa,0,1
8/30/14,L,13,Oregon,62,"Vermillion, SD",,2014,South Dakota,University of South Dakota,0,1
8/30/14,L,18,Missouri,38,"Brookings, SD",,2014,South Dakota St.,South Dakota State University,0,1
8/30/14,L,17,Illinois,28,"Youngstown, OH",,2014,Youngstown St. (OH),Youngstown State University,0,1
8/30/14,W,31,Towson (MD),27,"New Britain, CT",,2014,Central Connecticut St.,Central Connecticut State University,0,1
8/30/14,L,28,Buffalo (NY),38,"Pittsburgh, PA",,2014,Duquesne (PA),Duquesne University,0,1
8/30/14,W,28,Marist (NY),7,"Fairfield, CT",,2014,Sacred Heart (CT),Sacred Heart University,1,1
8/30/14,L,23,Fordham (NY),52,"Loretto, PA",,2014,Saint Francis (PA),Saint Francis University,0,1
8/30/14,W,21,Georgetown (DC),3,"Staten Island, NY",,2014,Wagner (NY),Wagner College,0,1
8/30/14,L,0,Memphis (TN),63,"Clarksville, TN",,2014,Austin Peay St. (TN),Austin Peay State University,0,1
8/30/14,L,14,Kentucky,59,"Martin, TN",,2014,Tennessee-Martin,University of Tennessee: Martin,0,1
8/30/14,W,42,Virginia Military Institute,38,"Lewisburg, PA",,2014,Bucknell (PA),Bucknell University,1,1
8/30/14,L,10,Ball St. (IN),30,"Hamilton, NY",,2014,Colgate (NY),Colgate University,0,1
8/30/14,L,3,Wagner (NY),21,"Washington, DC",,2014,Georgetown (DC),Georgetown University,1,1
8/30/14,L,13,SUNY-Albany (NY),14,"Worcester, MA",,2014,Holy Cross (MA),College of the Holy Cross,0,1
8/30/14,L,3,Southeastern Louisiana,44,"Jacksonville, FL",,2014,Jacksonville (FL),Jacksonville University,0,1
8/30/14,L,7,Sacred Heart (CT),28,"Poughkeepsie, NY",,2014,Marist (NY),Marist College,0,1
8/30/14,L,10,Richmond (VA),55,"Morehead, KY",,2014,Morehead St. (KY),Morehead State University,0,1
8/30/14,L,16,Coastal Carolina (SC),31,"Charleston, SC",,2014,Citadel (SC),The Citadel,1,1
8/30/14,W,13,Gardner-Webb (NC),3,"Greenville, SC",,2014,Furman (SC),Furman University,1,1
8/30/14,L,14,Texas Christian,48,"Birmingham, AL",,2014,Samford (AL),Samford University,0,1
8/30/14,L,38,Bucknell (PA),42,"Lexington, VA",,2014,Virginia Military Institute,Virginia Military Institute,0,1
8/30/14,L,31,South Florida,36,"Cullowhee, NC",,2014,Western Carolina (NC),Western Carolina University,0,1
8/30/14,L,19,Georgia Tech,38,"Spartanburg, SC",,2014,Wofford (SC),Wofford College,0,1
8/30/14,L,35,Texas Tech,42,"Conway, AR",,2014,Central Arkansas,University of Central Arkansas,0,1
8/30/14,L,13,Cal St.-Sacramento,49,"San Antonio, TX",,2014,Incarnate Word (TX),,1,1
8/30/14,W,42,Grambling St. (LA),27,"Beaumont, TX",,2014,Lamar (TX),Lamar University,1,1
8/30/14,L,16,Air Force (CO),44,"Thibodaux, LA",,2014,Nicholls St. (LA),Nicholls State University,0,1
8/30/14,W,51,Alabama St.,20,"Huntsville, TX",,2014,Sam Houston St. (TX),Sam Houston State University,1,1
8/30/14,W,44,Jacksonville (FL),3,"Hammond, LA",,2014,Southeastern Louisiana,Southeastern Louisiana University,1,1
8/30/14,L,16,Kansas St.,55,"Nacogdoches, TX",,2014,Stephen F. Austin (TX),Stephen F. Austin State University,0,1
8/30/14,L,20,Sam Houston St. (TX),51,"Montgomery, AL",,2014,Alabama St.,Alabama State University,0,1
8/30/14,L,0,Texas St.,65,"Pine Bluff, AR",,2014,Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,0,1
8/30/14,L,27,Lamar (TX),42,"Grambling, LA",,2014,Grambling St. (LA),Grambling State University,0,1
8/30/14,W,22,Florida A&M,17,"Jackson, MS",,2014,Jackson St. (MS),Jackson State University,1,1
8/30/14,L,6,Louisiana-Lafayette,45,"Baton Rouge, LA",,2014,Southern (LA),Southern University and Agricultural and Mechanical College,0,1
8/31/14,L,0,Baylor (TX),45,"Dallas, TX",,2014,Southern Methodist (TX),Southern Methodist University,0,1
8/31/14,W,45,Southern Methodist (TX),0,"Waco, TX",,2014,Baylor (TX),Baylor University,1,1
8/31/14,L,7,Tennessee,38,"Logan, UT",,2014,Utah St.,Utah State University,0,1
