WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
L,2011-12-03,20,Brigham Young (UT),41,"Honolulu, HI",,2011,Hawaii,University of Hawaii at Manoa,1
L,2011-10-08,16,Brigham Young (UT),29,"San Jose, CA",,2011,San Jose St. (CA),San Jose State University,0
W,2011-10-22,34,Utah,10,"Berkeley, CA",,2011,California,University of California: Berkeley,1
L,2011-10-15,28,Brigham Young (UT),38,"Corvallis, OR",,2011,Oregon St.,Oregon State University,1
L,2011-10-29,8,Utah,27,"Corvallis, OR",,2011,Oregon St.,Oregon State University,0
W,2011-10-01,31,Utah,14,"Seattle, WA",,2011,Washington,University of Washington,0
L,2011-11-19,27,Utah,30,"Pullman, WA",,2011,Washington St.,Washington State University,1
W,2011-10-08,35,Utah,14,"Tempe, AZ",,2011,Arizona St.,Arizona State University,0
L,2011-11-05,21,Utah,34,"Tucson, AZ",,2011,Arizona,University of Arizona,1
W,2011-11-25,17,Utah,14,"Boulder, CO",,2011,Colorado,University of Colorado at Boulder,0
L,2011-11-12,6,Utah,31,"Pasadena, CA",,2011,UCLA,University of California: Los Angeles,0
W,2011-09-01,27,Montana St.,10,"Salt Lake City, UT",,2011,Utah,University of Utah,1
L,2011-09-10,14,Southern California,23,"Salt Lake City, UT",,2011,Utah,University of Utah,0
W,2011-09-17,54,Brigham Young (UT),10,"Salt Lake City, UT",,2011,Utah,University of Utah,0
L,2011-10-01,14,Washington,31,"Salt Lake City, UT",,2011,Utah,University of Utah,1
L,2011-10-08,14,Arizona St.,35,"Salt Lake City, UT",,2011,Utah,University of Utah,1
W,2011-10-15,26,Pittsburgh (PA),14,"Salt Lake City, UT",,2011,Utah,University of Utah,0
L,2011-10-22,10,California,34,"Salt Lake City, UT",,2011,Utah,University of Utah,0
W,2011-10-29,27,Oregon St.,8,"Salt Lake City, UT",,2011,Utah,University of Utah,1
W,2011-11-05,34,Arizona,21,"Salt Lake City, UT",,2011,Utah,University of Utah,0
W,2011-11-12,31,UCLA,6,"Salt Lake City, UT",,2011,Utah,University of Utah,1
W,2011-11-19,30,Washington St.,27,"Salt Lake City, UT",,2011,Utah,University of Utah,0
L,2011-11-25,14,Colorado,17,"Salt Lake City, UT",,2011,Utah,University of Utah,1
W,2011-12-31,30,Georgia Tech,27,"Salt Lake City, UT",,2011,Utah,University of Utah,1
W,2011-09-10,23,Utah,14,"Los Angeles, CA",,2011,Southern California,University of Southern California,1
L,2011-09-03,13,Brigham Young (UT),14,"Oxford, MS",,2011,Mississippi,University of Mississippi,1
L,2012-10-27,17,Brigham Young (UT),41,"Atlanta, GA",,2012,Georgia Tech,Georgia Institute of Technology,1
W,2012-10-20,17,Brigham Young (UT),14,"South Bend, IN",,2012,Notre Dame (IN),University of Notre Dame,1
W,2012-08-30,30,Washington St.,6,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
W,2012-09-08,45,Weber St. (UT),13,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
L,2012-09-15,21,Utah,24,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,0
L,2012-09-20,6,Boise St. (ID),7,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,0
W,2012-09-28,47,Hawaii,0,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
W,2012-10-05,6,Utah St.,3,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
L,2012-10-13,24,Oregon St.,42,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
L,2012-10-20,14,Notre Dame (IN),17,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,0
W,2012-10-27,41,Georgia Tech,17,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,0
W,2012-11-10,52,Idaho,13,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
L,2012-11-17,14,San Jose St. (CA),20,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,0
W,2012-11-24,50,New Mexico St.,14,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,0
W,2012-12-20,23,San Diego St. (CA),6,"Provo, UT",,2012,Brigham Young (UT),Brigham Young University,1
L,2012-11-24,14,Brigham Young (UT),50,"Las Cruces, NM",,2012,New Mexico St.,New Mexico State University,1
W,2012-09-20,7,Brigham Young (UT),6,"Boise, ID",,2012,Boise St. (ID),Boise State University,1
W,2012-09-07,27,Utah,20,"Logan, UT",,2012,Utah St.,Utah State University,1
L,2012-10-05,3,Brigham Young (UT),6,"Logan, UT",,2012,Utah St.,Utah State University,0
L,2012-09-28,0,Brigham Young (UT),47,"Honolulu, HI",,2012,Hawaii,University of Hawaii at Manoa,0
L,2012-12-20,6,Brigham Young (UT),23,"San Diego, CA",,2012,San Diego St. (CA),San Diego State University,1
W,2012-11-17,20,Brigham Young (UT),14,"San Jose, CA",,2012,San Jose St. (CA),San Jose State University,1
L,2012-10-27,27,Utah,49,"Berkeley, CA",,2012,California,University of California: Berkeley,0
W,2012-10-13,42,Brigham Young (UT),24,"Corvallis, OR",,2012,Oregon St.,Oregon State University,0
W,2012-10-20,21,Utah,7,"Corvallis, OR",,2012,Oregon St.,Oregon State University,1
W,2012-11-10,34,Utah,15,"Seattle, WA",,2012,Washington,University of Washington,1
L,2012-08-30,6,Brigham Young (UT),30,"Pullman, WA",,2012,Washington St.,Washington State University,0
L,2012-11-03,6,Utah,49,"Pullman, WA",,2012,Washington St.,Washington State University,0
W,2012-09-22,37,Utah,7,"Tempe, AZ",,2012,Arizona St.,Arizona State University,1
W,2012-11-17,34,Utah,24,"Tucson, AZ",,2012,Arizona,University of Arizona,0
L,2012-11-23,35,Utah,42,"Boulder, CO",,2012,Colorado,University of Colorado at Boulder,1
W,2012-10-13,21,Utah,14,"Pasadena, CA",,2012,UCLA,University of California: Los Angeles,1
W,2012-10-04,38,Utah,28,"Los Angeles, CA",,2012,Southern California,University of Southern California,0
L,2012-09-07,20,Utah St.,27,"Salt Lake City, UT",,2012,Utah,University of Utah,0
W,2012-09-15,24,Brigham Young (UT),21,"Salt Lake City, UT",,2012,Utah,University of Utah,1
L,2012-09-22,7,Arizona St.,37,"Salt Lake City, UT",,2012,Utah,University of Utah,0
L,2012-10-04,28,Southern California,38,"Salt Lake City, UT",,2012,Utah,University of Utah,1
L,2012-10-13,14,UCLA,21,"Salt Lake City, UT",,2012,Utah,University of Utah,0
L,2012-10-20,7,Oregon St.,21,"Salt Lake City, UT",,2012,Utah,University of Utah,0
W,2012-10-27,49,California,27,"Salt Lake City, UT",,2012,Utah,University of Utah,1
W,2012-11-03,49,Washington St.,6,"Salt Lake City, UT",,2012,Utah,University of Utah,1
L,2012-11-10,15,Washington,34,"Salt Lake City, UT",,2012,Utah,University of Utah,0
L,2012-11-17,24,Arizona,34,"Salt Lake City, UT",,2012,Utah,University of Utah,1
W,2012-11-23,42,Colorado,35,"Salt Lake City, UT",,2012,Utah,University of Utah,0
L,2013-10-19,46,Brigham Young (UT),47,"Houston, TX",,2013,Houston (TX),University of Houston,1
L,2013-10-12,20,Brigham Young (UT),38,"Atlanta, GA",,2013,Georgia Tech,Georgia Institute of Technology,0
